GENENAME	NORMAL	ABNORMAL	LOG2FOLD	PVALUE
LOC100132062,LOC100133331	2.67834	3.47937	0.37749	0.014
LOC643837	6.98644	7.54396	0.110765	0.49395
SAMD11	3.57241	4.38893	0.29697	0.70005
KLHL17	12.4087	13.3551	0.106043	0.43535
PLEKHN1	2.00506	3.89806	0.959108	5e-05
ISG15	95.9159	145.996	0.60609	5e-05
AGRN	12.8755	15.0227	0.222523	0.0788
B3GALT6	9.10428	9.59268	0.07539	0.58925
SCNN1D	1.1797	1.41959	0.267058	0.1828
PUSL1	17.8764	19.6504	0.136499	0.6321
GLTPD1	6.79373	7.86791	0.211775	0.1453
TAS1R3	0.333226	0.545979	0.712347	0.0225
LOC148413	11.1648	12.1993	0.127843	0.65115
TMEM88B	0.816716	1.21329	0.571023	0.24265
VWA1	10.1801	13.5987	0.417721	0.0021
ATAD3C	0.943232	1.28472	0.445764	0.02505
ATAD3B	16.999	19.4896	0.197253	0.14525
ATAD3A	30.7126	36.8463	0.262688	0.04695
MIB2	13.615	15.8995	0.22378	0.08515
MMP23B	0.340535	0.668606	0.973355	0.02315
CALML6	0.496215	0.640707	0.3687	0.3346
GABRD	7.18576	9.84599	0.454396	0.0019
PRKCZ	17.5284	17.3771	-0.0125094	0.9436
SKI	22.491	23.288	0.0502339	0.68925
RER1	29.705	34.0119	0.195334	0.18975
PLCH2	0.790249	0.876302	0.149122	0.457
FAM213B	14.2669	16.6765	0.225146	0.12025
ACTRT2	1.51334	2.11479	0.48278	0.038
PRDM16	1.26562	1.22687	-0.0448667	0.7752
ARHGEF16	12.9778	15.1031	0.218798	0.1012
TPRG1L	33.6617	30.5202	-0.141342	0.26855
TP73	6.98236	8.52199	0.287475	0.0322
LOC388588	3.21657	4.54755	0.499565	0.06525
DFFB	5.42529	5.61452	0.0494615	0.74035
LOC284661	0.987851	1.11498	0.174655	0.4853
KCNAB2	6.28134	6.89159	0.133764	0.45555
RNF207	6.99269	6.38414	-0.131355	0.71265
ESPN	19.0832	21.5747	0.177034	0.1692
ZBTB48	7.04355	6.78706	-0.0535141	0.7195
PHF13	15.6308	14.0504	-0.153784	0.2431
THAP3	7.90444	8.40358	0.0883408	0.8398
CAMTA1	33.8517	28.2561	-0.260668	0.13885
VAMP3	57.5543	63.4443	0.140569	0.26845
PER3	1.16953	1.80853	0.628896	0.00015
PARK7	300.756	277.218	-0.117571	0.3441
SLC45A1	5.23705	4.07349	-0.36249	0.0232
ENO1-AS1	1.42428	1.79929	0.337191	0.3782
H6PD	7.70103	6.91246	-0.155852	0.2264
SPSB1	4.89124	5.70345	0.221634	0.1296
SLC25A33	21.0558	19.3486	-0.121994	0.3823
TMEM201	11.1352	11.3878	0.0323636	0.80895
PIK3CD	4.16699	3.47032	-0.263939	0.61195
NMNAT1	5.46344	6.60746	0.274286	0.05465
RBP7	36.5912	35.3127	-0.0513119	0.7296
UBE4B	19.0807	20.2175	0.0834969	0.5115
KIF1B	14.1811	12.7483	-0.153663	0.22485
PGD	150.84	136.729	-0.141708	0.2531
APITD1,APITD1-CORT,CORT	13.0577	13.1524	0.010423	0.9459
PEX14	14.7381	16.4406	0.157708	0.25425
TARDBP	51.8863	55.7491	0.103594	0.40995
UBIAD1	9.09544	8.27755	-0.13594	0.31715
PTCHD2	0.524286	0.532943	0.023627	0.91735
FBXO44	14.9318	17.0985	0.195481	0.48085
FBXO6	11.7534	15.3905	0.388967	0.0072
C1orf187	1.77365	1.16503	-0.606358	0.01065
AGTRAP	28.6844	32.4575	0.178286	0.19115
CLCN6	4.36651	4.35859	-0.00261838	0.9881
PLOD1	93.2265	101.235	0.118891	0.3418
MFN2	35.8779	38.8462	0.11468	0.3674
MIIP	15.0175	16.839	0.165167	0.2333
VPS13D	5.2085	4.77413	-0.125631	0.33115
SNORA59A	4.00845	1.19574	-1.74514	0.60025
PRDM2	3.81091	3.70133	-0.0420893	0.77695
KAZN	6.78532	7.07813	0.0609522	0.6792
TMEM51	9.10634	11.1919	0.297515	0.04045
FHAD1	0.596422	0.530582	-0.168759	0.4404
EFHD2	29.4734	29.4338	-0.0019423	0.98745
DNAJC16	11.4463	12.2614	0.0992355	0.44495
DDI2,RSC1A1	12.6957	12.2482	-0.0517725	0.7647
PLEKHM2	16.3619	18.6625	0.189795	0.13615
FBLIM1	1.15259	1.94551	0.75526	0.0012
SPEN	17.3965	18.1689	0.0626729	0.60675
CLCNKB	0.533414	0.428252	-0.316794	0.3091
C1orf144	59.1974	65.1575	0.138397	0.26865
NECAP2	23.6279	23.1636	-0.0286311	0.82505
MST1P2	5.19395	4.96087	-0.0662403	0.66775
CROCC	4.67683	5.31024	0.183246	0.1719
PADI3	1.33198	0.966711	-0.462413	0.02845
ARHGEF10L	4.60838	5.0627	0.135648	0.3433
MRTO4	39.5656	45.003	0.185772	0.14715
PQLC2	5.4878	5.87138	0.0974707	0.54155
C1orf151-NBL1,MINOS1,NBL1	49.4401	58.1499	0.234095	0.08295
OTUD3	5.89124	6.30515	0.0979599	0.46725
CDA	22.2578	26.1282	0.231299	0.1129
PINK1	19.7243	21.6977	0.137564	0.2946
NBPF3	5.57568	5.49374	-0.0213592	0.8862
ALPL	0.475683	0.292375	-0.702177	0.03005
LINC00339	8.93912	7.77942	-0.20047	0.25495
CDC42	158.205	162.716	0.0405574	0.74885
ZBTB40	7.84279	8.11685	0.0495543	0.69955
EPHB2	11.7902	12.0662	0.03338	0.799
KDM1A	103.165	99.4343	-0.0531318	0.6686
C1orf213	2.46793	2.29324	-0.105914	0.86085
RPL11	1574.04	1493.73	-0.0755504	0.55995
TCEB3	10.6703	11.1538	0.0639223	0.6498
PITHD1	31.9381	37.3713	0.226651	0.08555
LYPLA2	63.3804	64.414	0.0233363	0.8554
PNRC2	38.4515	37.2384	-0.0462485	0.7123
GRHL3	0.197568	1.87983	3.25018	0.00015
NIPAL3	6.97871	5.75649	-0.277771	0.0414
RCAN3	11.2708	10.7554	-0.0675343	0.6273
C1orf130	0.56148	0.315008	-0.833845	0.00325
SRRM1	74.9083	85.9337	0.198099	0.11675
CLIC4	47.8101	49.0641	0.0373548	0.76665
TMEM50A	45.7479	44.8305	-0.0292253	0.81455
TMEM57	10.058	8.18106	-0.297977	0.03
LDLRAP1	14.9707	16.8164	0.167727	0.20525
MAN1C1	1.04641	0.883604	-0.24398	0.2605
SEPN1	47.6395	37.0859	-0.361287	0.0041
FAM54B	25.2926	22.9208	-0.142058	0.2953
PDIK1L	4.63359	4.10191	-0.175833	0.2493
ZNF593	42.7373	45.6395	0.0947881	0.49925
CNKSR1	10.3647	11.6775	0.172054	0.21315
CEP85	12.9688	13.123	0.0170536	0.8968
SH3BGRL3	91.1552	100.48	0.140515	0.2599
CD52	0.628675	0.689044	0.132281	0.92535
DHDDS	11.9513	13.1497	0.137865	0.30845
HMGN2	245.974	296.212	0.268127	0.03945
RPS6KA1	22.5152	27.0549	0.264988	0.0371
ARID1A	18.8654	19.0944	0.0174086	0.88565
PIGV	8.35121	8.83752	0.0816558	0.57225
ZDHHC18	14.6345	16.9449	0.211474	0.11225
SFN	106.169	142.502	0.424621	0.00105
NUDC	141.906	162.561	0.196041	0.11445
TRNP1	35.9962	36.8765	0.0348576	0.79455
WDTC1	14.4983	14.6093	0.0110038	0.92985
TMEM222	18.4473	20.5506	0.155772	0.26075
LOC644961	0.441942	0.494301	0.161533	0.83975
SYTL1	16.7009	18.6975	0.162924	0.22675
GPR3	2.42572	3.55442	0.551201	0.00425
FAM76A	4.39227	3.86789	-0.183421	0.2401
STX12	12.512	12.497	-0.00172116	0.98985
PPP1R8	36.9013	40.0544	0.118291	0.3488
C1orf38	4.69742	5.12251	0.12498	0.501
SMPDL3B	15.6672	15.3454	-0.0299433	0.83165
XKR8	6.37937	7.18826	0.172229	0.2634
ATPIF1	174.202	176.954	0.0226094	0.8657
SESN2	6.21769	6.45329	0.0536547	0.7031
MED18	16.9635	14.9271	-0.184492	0.18125
PHACTR4	12.7053	12.8871	0.020503	0.873
RCC1	117.519	134.467	0.194362	0.12995
TRNAU1AP	8.59967	8.47227	-0.021532	0.9225
GMEB1	7.31293	7.397	0.0164895	0.9118
YTHDF2	77.0518	70.5029	-0.128146	0.3101
EPB41	16.0776	15.2604	-0.0752659	0.60145
PTPRU	15.1253	16.11	0.0909932	0.47405
LOC100129196	0.456252	0.478617	0.0690399	0.8264
ZCCHC17	22.9598	22.7312	-0.0144395	0.91475
SERINC2	27.3474	35.594	0.380228	0.0035
TINAGL1	25.1177	15.5242	-0.694182	5e-05
KHDRBS1	134.182	135.526	0.0143803	0.90985
TMEM39B	9.74152	10.4481	0.101017	0.4884
KPNA6	29.049	28.4818	-0.0284484	0.8168
TXLNA	18.1286	18.1146	-0.00111421	0.99345
CCDC28B	3.0353	1.96653	-0.626188	0.0116
IQCC	2.48171	2.72631	0.135617	0.46345
EIF3I	223.577	213.631	-0.0656519	0.60045
FAM167B	0.551202	0.585263	0.086504	0.83625
LCK	0.675191	0.364377	-0.889863	0.0059
HDAC1	153.327	138.115	-0.150747	0.22765
