GENENAME	NORMAL	ABNORMAL	LOG2FOLD	PVALUE
LOC643837	5.56686	4.98661	-0.158806	0.2014
SAMD11	2.22021	1.12584	-0.979694	0.21985
KLHL17	19.221	17.3762	-0.14557	0.1162
PLEKHN1	2.49779	2.92073	0.225675	0.08905
ISG15	172.848	242.706	0.489707	5e-05
AGRN	26.3271	27.6869	0.0726553	0.38575
B3GALT6	14.783	14.2216	-0.055851	0.5463
SCNN1D	1.79713	1.82461	0.021895	0.8724
PUSL1	27.429	27.7461	0.0165815	0.9319
GLTPD1	10.0843	9.99986	-0.012131	0.90235
LOC148413	14.7851	15.5039	0.0684934	0.68365
VWA1	20.9102	22.7474	0.121491	0.15945
ATAD3C	0.429656	0.63166	0.555967	0.00365
ATAD3B	26.6482	32.4699	0.285061	0.0006
ATAD3A	46.2257	54.2995	0.232243	0.00755
MIB2	25.6495	24.7468	-0.0516864	0.5538
GABRD	6.53852	6.83772	0.064551	0.56305
PRKCZ	18.8261	16.6528	-0.176968	0.15885
SKI	23.4204	23.5797	0.00977766	0.9065
RER1	32.2205	36.3193	0.172755	0.082
PLCH2	0.758866	1.02937	0.439851	0.0008
FAM213B	24.2591	24.4196	0.00951602	0.91745
PRDM16	1.23194	1.1486	-0.101057	0.3864
ARHGEF16	19.218	20.9307	0.123167	0.16265
TPRG1L	35.0387	31.0265	-0.175448	0.04365
TP73	9.32155	8.72775	-0.0949589	0.29985
LOC388588	3.93197	5.24113	0.414628	0.05515
DFFB	5.76303	5.60918	-0.039036	0.7075
KCNAB2	6.69705	4.34966	-0.622623	5e-05
RNF207	9.24157	9.94739	0.106181	0.6513
ESPN	23.5034	22.9283	-0.0357394	0.6851
ZBTB48	9.34354	9.36506	0.00331879	0.97055
PHF13	16.8014	15.1106	-0.153017	0.086
THAP3	11.3758	10.5179	-0.113124	0.68185
CAMTA1	29.1135	27.532	-0.0805787	0.52345
VAMP3	43.6532	48.2608	0.144764	0.0889
PER3	1.68958	1.41218	-0.258735	0.0268
PARK7	315.711	329.737	0.0627093	0.45565
SLC45A1	6.02225	4.91432	-0.293311	0.0097
ENO1-AS1	0.669437	0.649977	-0.0425599	0.3471
H6PD	5.34504	4.11195	-0.378378	5e-05
SPSB1	6.11789	5.73177	-0.0940518	0.3482
SLC25A33	22.2603	22.1362	-0.00806126	0.93065
TMEM201	15.0661	15.161	0.00905766	0.9169
PIK3CD	6.20405	6.00241	-0.047669	0.8659
NMNAT1	4.30322	4.56094	0.0839135	0.4038
RBP7	34.1284	34.0622	-0.00280092	0.9715
UBE4B	16.3778	16.6133	0.0205981	0.80955
KIF1B	10.0748	9.73907	-0.0488952	0.5789
PGD	161.915	168.781	0.0599138	0.47205
APITD1,APITD1-CORT,CORT	15.5575	13.2386	-0.232864	0.0215
PEX14	16.9366	16.1198	-0.0713043	0.44255
TARDBP	53.6248	54.1243	0.0133764	0.8746
UBIAD1	8.68002	8.80914	0.0213038	0.82135
PTCHD2	0.965124	0.942138	-0.0347763	0.8072
FBXO44	19.7767	17.0751	-0.211903	0.28785
FBXO6	13.3182	16.9663	0.349275	0.0005
C1orf187	2.36536	1.6766	-0.496525	0.0014
AGTRAP	35.2269	34.0937	-0.0471706	0.61355
CLCN6	4.97213	5.73246	0.20529	0.18535
PLOD1	103.333	128.343	0.312704	0.0002
MFN2	37.4141	36.3722	-0.0407431	0.6266
MIIP	25.8312	28.0228	0.117485	0.1939
VPS13D	4.32957	3.94282	-0.134997	0.1254
PRDM2	3.33406	3.20245	-0.0581064	0.57565
KAZN	7.22442	10.0655	0.478462	5e-05
TMEM51	10.3867	10.0139	-0.0527334	0.59765
FHAD1	0.643541	0.33473	-0.943036	5e-05
EFHD2	35.5137	36.9556	0.0574182	0.50485
DNAJC16	9.29342	9.37618	0.0127904	0.883
DDI2,RSC1A1	10.1293	9.55138	-0.0847549	0.46785
PLEKHM2	18.6238	19.5159	0.0675019	0.4357
SLC25A34	0.426013	0.621253	0.544286	0.02225
FBLIM1	1.35145	3.45443	1.35393	5e-05
SPEN	22.1078	19.5991	-0.173765	0.03955
C1orf144	62.4131	55.8905	-0.159245	0.05755
NECAP2	26.719	27.6651	0.0502046	0.57165
MST1P2	5.17317	5.24528	0.0199711	0.8553
CROCC	7.42715	7.69771	0.0516212	0.56955
PADI3	1.87338	1.72065	-0.122687	0.36135
ARHGEF10L	8.20208	11.6792	0.509884	5e-05
MRTO4	47.8691	51.9301	0.117474	0.16725
PQLC2	5.44894	6.9618	0.353484	0.0027
C1orf151-NBL1,MINOS1,NBL1	54.2657	61.5409	0.181505	0.04515
OTUD3	6.09224	5.75808	-0.0813862	0.37505
CDA	32.9619	44.5888	0.435884	5e-05
PINK1	24.5522	24.5907	0.00226398	0.9791
NBPF3	4.3409	3.50004	-0.310624	0.0035
LINC00339	6.35984	5.58407	-0.187673	0.16505
CDC42	126.443	135.508	0.0998931	0.23255
ZBTB40	7.79117	6.76974	-0.202738	0.0213
EPHB2	11.2631	10.3266	-0.125247	0.1659
KDM1A	98.8106	96.2304	-0.0381727	0.64695
C1orf213	1.44488	1.75238	0.278366	0.53625
RPL11	1653.99	1833	0.148258	0.08045
TCEB3	9.50475	10.8574	0.191953	0.0463
PITHD1	38.0405	38.0749	0.00130627	0.98695
LYPLA2	77.4006	83.389	0.107513	0.20555
PNRC2	42.7166	37.3541	-0.19353	0.02345
GRHL3	0.333461	0.795639	1.2546	0.0009
NIPAL3	5.48836	4.71302	-0.219721	0.021
RCAN3	6.86752	5.77039	-0.251122	0.0143
SRRM1	53.56	57.647	0.10609	0.2134
CLIC4	39.35	38.6563	-0.0256635	0.7612
TMEM50A	37.5743	37.0627	-0.0197809	0.81685
TMEM57	8.789	8.27173	-0.0875087	0.3438
LDLRAP1	16.9875	19.5073	0.199545	0.0248
MAN1C1	1.0494	0.735936	-0.511907	0.0021
SEPN1	40.9813	39.3874	-0.0572333	0.50295
FAM54B	20.574	19.0227	-0.113101	0.2333
PDIK1L	3.60086	3.56309	-0.0152145	0.88715
ZNF593	65.1625	65.2946	0.00292348	0.9749
CNKSR1	12.0865	12.7389	0.0758423	0.4162
CEP85	14.2049	13.9154	-0.0297147	0.73535
SH3BGRL3	106.128	125.91	0.246592	0.00435
CD52	0.427781	0.774722	0.856806	0.5103
DHDDS	9.14875	9.88675	0.111922	0.23285
HMGN2	209.191	225.685	0.10949	0.1885
RPS6KA1	27.9478	28.6475	0.0356761	0.6712
ARID1A	22.205	22.0075	-0.0128847	0.88035
PIGV	8.82568	7.35409	-0.26316	0.00925
ZDHHC18	15.5292	15.2537	-0.0258192	0.77115
SFN	115.045	127.548	0.148839	0.07575
NUDC	179.527	194.024	0.112039	0.1839
TRNP1	52.768	47.622	-0.148034	0.0846
WDTC1	13.4044	11.1655	-0.263667	0.00305
TMEM222	20.508	17.6353	-0.217723	0.0282
LOC644961	0.438293	0.430808	-0.02485	0.9591
SYTL1	26.0102	33.6707	0.372417	0.0001
GPR3	3.05072	3.50906	0.201934	0.12425
FAM76A	3.42203	3.23795	-0.0797696	0.47365
STX12	10.6246	10.9066	0.0378061	0.67685
PPP1R8	33.9903	32.8839	-0.0477419	0.59265
C1orf38	4.10503	3.80176	-0.110728	0.4173
SMPDL3B	13.0977	14.1633	0.112845	0.2472
XKR8	8.08358	8.94705	0.146417	0.164
ATPIF1	215.985	223.003	0.0461314	0.61525
SESN2	8.72353	7.33141	-0.250822	0.0089
MED18	15.5231	14.8866	-0.0604015	0.5285
PHACTR4	10.3717	8.3461	-0.31348	0.00035
RCC1	108.469	112.696	0.0551617	0.515
TRNAU1AP	7.81351	9.00701	0.205077	0.183
