gene	0	0	protein-5-4	0
ATAD3A	0	0	-0.1659199	0
TRIT1	0	0	-0.1542972	0
PARS2	0	0	-0.6072676	0
MUTYH	0	0	NaN	0
ENO1	0	0	0.3069621	0
SDHB	0	0	0.3343394	0
MFN2	0	0	0.2498749	0
TFB2M	0	0	-0.3836235	0
MSTO1	0	0	0.1775997	0
TIMM17A	0	0	NaN	0
COX20	0	0	0.881031	0
AK4	0	0	0.08596148	0
KIF1B	0	0	-0.1077878	0
SHC1	0	0	0.4598512	0
ACADM	0	0	-0.004879596	0
FH	0	0	0.2503153	0
UROD	0	0	-0.2132745	0
SLC2A1	0	0	1.475482	0
ATP5F1	0	0	0.1660727	0
GCLM	0	0	0.5964581	0
ATPAF1	0	0	0.2259689	0
MRPL9	0	0	-0.1499513	0
NDUFS2	0	0	-0.2159446	0
PKLR	0	0	NaN	0
SDHC	0	0	0.4255182	0
YRDC	0	0	-0.7875381	0
MRPL37	0	0	-0.01845031	0
TOMM20	0	0	NaN	0
MRPS15	0	0	-0.2609296	0
WARS2	0	0	NaN	0
C1orf31	0	0	-1.281947	0
MRPL20	0	0	-0.2010517	0
SELRC1	0	0	-1.4097	0
OMA1	0	0	-0.0301817	0
BRP44	0	0	0.6709203	0
MRPS14	0	0	0.0908535	0
DARS2	0	0	-0.3646822	0
UQCRH	0	0	0.03437994	0
SLC27A3	0	0	NaN	0
IBA57	0	0	0.2920084	0
CPT2	0	0	-0.2580489	0
DAP3	0	0	-0.1752706	0
PPOX	0	0	-0.1847689	0
GLRX2	0	0	NaN	0
MRPL24	0	0	0.03079903	0
TARS2	0	0	-0.06405751	0
NDUFS5	0	0	-0.1554009	0
IARS2	0	0	-0.151939	0
MRPL55	0	0	0.4164816	0
ATAD3B	0	0	-0.002282521	0
PTCD3	0	0	-0.02714797	0
MFF	0	0	0.2653127	0
BCS1L	0	0	0.1860874	0
LRPPRC	0	0	-0.3182404	0
NFU1	0	0	0.4016304	0
NDUFB3	0	0	-0.2177406	0
C2orf56	0	0	-0.01624095	0
HADHA	0	0	0.3316363	0
MTIF2	0	0	-0.4691613	0
NDUFS1	0	0	0.04365009	0
MRPS9	0	0	-0.02045765	0
HK2	0	0	-0.5086702	0
CREB1	0	0	0.04658527	0
BOLA3	0	0	NaN	0
COX5B	0	0	0.4281932	0
MRPL19	0	0	-0.1830028	0
IDH1	0	0	0.1962293	0
MRPS5	0	0	-0.1854828	0
SUCLG1	0	0	0.2104065	0
CPS1	0	0	-0.898007	0
HADHB	0	0	0.3174317	0
CIAO1	0	0	-0.3437141	0
ACSL3	0	0	0.3802861	0
MRPL44	0	0	-0.2229696	0
MRPL53	0	0	-0.4802535	0
HTRA2	0	0	-0.5575395	0
TRMT61B	0	0	NaN	0
MRPL33	0	0	-0.1442159	0
DHX30	0	0	-0.01696449	0
GPX1	0	0	-0.4614944	0
DNAJC19	0	0	-0.2490465	0
ALAS1	0	0	0.009358918	0
TOMM70A	0	0	-0.3593599	0
ACAD9	0	0	0.1822469	0
MRPS25	0	0	-0.3183978	0
PDHB	0	0	0.3544353	0
SLC25A20	0	0	0.5005982	0
GFM1	0	0	0.3071814	0
LARS2	0	0	-0.1646903	0
UQCRC1	0	0	0.3021728	0
QTRTD1	0	0	-0.3885065	0
